"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"1193","CONNAUGHT OPERA","GBP",4900,2018-07-01,"CONNAUGHT OPERA","Greater London Authority","Culture and Creative Industries","Culture Seeds",7436.62846019947,"large"
"1194","Break Tha Cycle","GBP",5000,2018-07-01,"Break Tha Cycle","Greater London Authority","Culture and Creative Industries","Culture Seeds",4797.8657561431,"med"
"1195","Notting Hill Carnival Pioneers Committee","GBP",5000,2018-07-01,"Notting Hill Carnival Pioneers Committee","Greater London Authority","Culture and Creative Industries","Culture Seeds",5865.61146852202,"large"
"1196","Stitch-School","GBP",3990,2018-07-01,"Stitch-School","Greater London Authority","Culture and Creative Industries","Culture Seeds",4164.93827732914,"large"
"1197","Made in Merton","GBP",1017,2018-07-01,"Made in Merton","Greater London Authority","Culture and Creative Industries","Culture Seeds",1646.59927437077,"small"
"1198","Club Soda","GBP",4900,2018-07-01,"Club Soda","Greater London Authority","Culture and Creative Industries","Culture Seeds",5731.07693778015,"med"
"1199","Penificent","GBP",1898,2018-07-01,"Penificent","Greater London Authority","Culture and Creative Industries","Culture Seeds",2239.73215503026,"large"
"1200","Grant to individual","GBP",5000,2018-08-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4759.25018964364,"small"
"1201","The Ethnic Minority Centre","GBP",2120,2018-08-01,"The Ethnic Minority Centre","Greater London Authority","Culture and Creative Industries","Culture Seeds",2816.10917348813,"med"
"1202","Grant to individual","GBP",1500,2018-08-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",1892.63216827533,"med"
"1203","Reel Rebels Radio (RRR)","GBP",5000,2018-08-01,"Reel Rebels Radio (RRR)","Greater London Authority","Culture and Creative Industries","Culture Seeds",6943.81335689163,"small"
"1204","Grant to individual","GBP",2694,2018-08-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",2341.06895225502,"med"
"1205","SMALL TALK TV","GBP",3250,2018-08-01,"SMALL TALK TV","Greater London Authority","Culture and Creative Industries","Culture Seeds",4571.70353022902,"small"
"1206","Writerz and Scribez CIC","GBP",4900,2018-08-01,"Writerz and Scribez CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",5129.73158029204,"large"
"1207","Somali Deaf Centre","GBP",4990,2018-08-01,"Somali Deaf Centre","Greater London Authority","Culture and Creative Industries","Culture Seeds",4517.67890484378,"large"
"1208","Golden Oldies Community Care Project","GBP",4965,2018-08-01,"Golden Oldies Community Care Project","Greater London Authority","Culture and Creative Industries","Culture Seeds",6701.67044821617,"large"
"1209","Excel Women's Centre CIC","GBP",5000,2018-08-01,"Excel Women's Centre CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",6515.58493454051,"large"
"1210","Grant to individual","GBP",4940,2018-09-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",7464.49577015714,"med"
"1211","Grant to individual","GBP",5000,2018-09-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5715.27980147217,"med"
"1212","Grant to individual","GBP",3560,2018-09-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5413.62121335537,"large"
"1213","Friends of Bush Hill Park","GBP",5000,2018-09-01,"Friends of Bush Hill Park","Greater London Authority","Culture and Creative Industries","Culture Seeds",5782.0145705684,"med"
"1214","Grant to individual","GBP",1650,2018-09-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",2049.0421326849,"small"
"1215","The Spitz Charitable Trust","GBP",4800,2018-09-01,"The Spitz Charitable Trust","Greater London Authority","Culture and Creative Industries","Culture Seeds",4658.23171475475,"small"
"1216","Purple Moon Drama","GBP",5000,2018-09-01,"Purple Moon Drama","Greater London Authority","Culture and Creative Industries","Culture Seeds",6369.51228728243,"small"
"1217","Barking and Dagenham Youth Dance","GBP",4983,2018-10-01,"Barking and Dagenham Youth Dance","Greater London Authority","Culture and Creative Industries","Culture Seeds",5933.86174887641,"large"
"1218","Grant to individual","GBP",4960,2018-10-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",6950.87063625037,"small"
"1219","Pennu Charity","GBP",5000,2018-10-01,"Pennu Charity","Greater London Authority","Culture and Creative Industries","Culture Seeds",3772.31482913817,"small"
"1220","Inspiring Your Imagination","GBP",5000,2018-10-01,"Inspiring Your Imagination","Greater London Authority","Culture and Creative Industries","Culture Seeds",6135.63842645725,"small"
"1221","The RecordShop","GBP",5000,2018-10-01,"The RecordShop","Greater London Authority","Culture and Creative Industries","Culture Seeds",7341.92914325689,"large"
"1222","Khidr Collective","GBP",4350,2018-10-01,"Khidr Collective","Greater London Authority","Culture and Creative Industries","Culture Seeds",5655.86044536886,"small"
"1223","Grant to individual","GBP",5000,2018-11-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5298.02706314544,"med"
"1224","South London Art Map (SLAM)","GBP",4000,2018-11-01,"South London Art Map (SLAM)","Greater London Authority","Culture and Creative Industries","Culture Seeds",3854.46613241745,"large"
"1225","Creating Ground CIC","GBP",4980,2018-11-01,"Creating Ground CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",6504.38802120536,"large"
"1226","Taal","GBP",4800,2018-11-01,"Taal","Greater London Authority","Culture and Creative Industries","Culture Seeds",5688.02366374542,"small"
"1227","Grant to individual","GBP",5000,2018-11-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4063.67848677772,"small"
"1228","Grant to individual","GBP",5000,2018-11-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4551.63325183974,"med"
"1229","Hartslane","GBP",5000,2018-12-01,"Hartslane","Greater London Authority","Culture and Creative Industries","Culture Seeds",6955.08023329503,"large"
"1230","Big Up Films","GBP",5000,2018-12-01,"Big Up Films","Greater London Authority","Culture and Creative Industries","Culture Seeds",4503.6033700318,"small"
"1231","Social Material CIC","GBP",4971,2018-12-01,"Social Material CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",5128.65753655646,"small"
"1232","Grant to individual","GBP",2000,2018-12-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",2579.69450700743,"small"
"1233","Grant to individual","GBP",4390,2018-12-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5751.25626648899,"med"
"1234","Ponders End Families (Stay and Play)","GBP",4952,2018-12-01,"Ponders End Families (Stay and Play)","Greater London Authority","Culture and Creative Industries","Culture Seeds",7356.0052020229,"large"
"1235","Parkfield Peckers","GBP",4850,2018-12-01,"Parkfield Peckers","Greater London Authority","Culture and Creative Industries","Culture Seeds",6835.44281062993,"small"
"1236","Grant to individual","GBP",2102,2019-01-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",2527.22454723374,"large"
"1237","Grant to individual","GBP",5000,2019-01-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5149.38494307879,"large"
"1238","Grant to individual","GBP",1470,2019-01-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",1855.01452922279,"med"
"1239","Art in the Park","GBP",4940,2019-01-01,"Art in the Park","Greater London Authority","Culture and Creative Industries","Culture Seeds",7171.93354876345,"med"
"1240","Grant to individual","GBP",4550,2019-01-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",8335.58704727712,"small"
"1241","Xenia","GBP",4577,2019-01-01,"Xenia","Greater London Authority","Culture and Creative Industries","Culture Seeds",5028.81401611935,"med"
"1242","Grant to individual","GBP",3600,2019-01-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4507.75052743254,"small"
"1243","Screen25 C.I.C.","GBP",3320,2019-01-01,"Screen25 C.I.C.","Greater London Authority","Culture and Creative Industries","Culture Seeds",4267.52366929722,"small"
"1244","Womens Lounge","GBP",4939,2019-01-01,"Womens Lounge","Greater London Authority","Culture and Creative Industries","Culture Seeds",5779.93675364375,"med"
"1245","Grant to individual","GBP",5000,2019-01-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",7697.69045611203,"small"
"1246","Blackhorse Arts Limited","GBP",4348,2019-02-01,"Blackhorse Arts Limited","Greater London Authority","Culture and Creative Industries","Culture Seeds",5794.05259311429,"med"
"1247","We Open Doors CIC","GBP",3980,2019-02-01,"We Open Doors CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",4308.27046524868,"small"
"1248","Grant to individual","GBP",4745,2019-02-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",7873.48668330343,"med"
"1249","Invisible Palace","GBP",5000,2019-02-01,"Invisible Palace","Greater London Authority","Culture and Creative Industries","Culture Seeds",6292.58888666562,"med"
"1250","Mountford Growing Community","GBP",4770,2019-02-01,"Mountford Growing Community","Greater London Authority","Culture and Creative Industries","Culture Seeds",6018.37139326581,"small"
"1251","Romanian Cultural Charitable Trust","GBP",4994,2019-02-01,"Romanian Cultural Charitable Trust","Greater London Authority","Culture and Creative Industries","Culture Seeds",6257.87511742173,"large"
"1252","Grant to individual","GBP",5000,2019-02-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5961.04793707132,"med"
"1253","Grant to individual","GBP",5000,2019-03-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5183.6144324984,"med"
"1254","Cinema Connecting Community","GBP",4700,2019-03-01,"Cinema Connecting Community","Greater London Authority","Culture and Creative Industries","Culture Seeds",6050.78048466662,"med"
"1255","SFIDA Kosovan/Albanian/Macedonian and Gorani Community Group","GBP",5000,2019-03-01,"SFIDA Kosovan/Albanian/Macedonian and Gorani Community Group","Greater London Authority","Culture and Creative Industries","Culture Seeds",5229.99036276359,"large"
"1256","Grant to individual","GBP",2885,2019-03-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",3539.90982487113,"med"
"1257","The Pain Exchange","GBP",2998,2019-03-01,"The Pain Exchange","Greater London Authority","Culture and Creative Industries","Culture Seeds",4132.88381316483,"med"
"1258","Grant to individual","GBP",4770,2019-03-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5764.7664283849,"med"
"1259","The Movement Factory","GBP",4750,2019-03-01,"The Movement Factory","Greater London Authority","Culture and Creative Industries","Culture Seeds",7547.67814172337,"large"
"1260","Grant to individual","GBP",4450,2019-03-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",6806.66720196889,"small"
"1261","Grant to individual","GBP",5000,2019-03-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",6362.3960624381,"med"
"1262","Cordwainers Grow CIC","GBP",4900,2019-03-01,"Cordwainers Grow CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",6820.78903380495,"med"
"1263","Grant to individual","GBP",4940,2019-03-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4024.17298728329,"med"
"1264","Grant to individual","GBP",3862,2019-04-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4892.90553224846,"med"
"1265","Asinati C.I.C","GBP",4640,2019-04-01,"Asinati C.I.C","Greater London Authority","Culture and Creative Industries","Culture Seeds",5609.98265466732,"large"
"1266","Brixton Wings","GBP",5000,2019-04-01,"Brixton Wings","Greater London Authority","Culture and Creative Industries","Culture Seeds",8818.77922091398,"small"
"1267","Grant to individual","GBP",4000,2019-04-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",3072.39098568017,"small"
"1268","Hillview Residents' Association","GBP",4150,2019-04-01,"Hillview Residents' Association","Greater London Authority","Culture and Creative Industries","Culture Seeds",5589.54672141788,"med"
"1269","Grant to individual","GBP",4995,2019-04-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",3637.82118107008,"med"
"1270","Grant to individual","GBP",5000,2019-04-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4811.29103090677,"large"
"1271","ANGIE'S KEEP CALM & SING GROUP","GBP",2828,2019-04-01,"ANGIE'S KEEP CALM & SING GROUP","Greater London Authority","Culture and Creative Industries","Culture Seeds",3628.50811595674,"large"
"1272","Third Sector Media","GBP",4950,2019-05-01,"Third Sector Media","Greater London Authority","Culture and Creative Industries","Culture Seeds",3303.90438329085,"med"
"1273","Gahu Dramatic Arts","GBP",4980,2019-05-01,"Gahu Dramatic Arts","Greater London Authority","Culture and Creative Industries","Culture Seeds",5831.01534616188,"small"
"1274","Granville Community Kitchen","GBP",4820,2019-05-01,"Granville Community Kitchen","Greater London Authority","Culture and Creative Industries","Culture Seeds",5833.70381766694,"med"
"1275","Grant to individual","GBP",2119,2019-05-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",2757.35837983258,"large"
"1276","Grant to individual","GBP",5000,2019-05-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4422.08550639832,"large"
"1277","Earthlings","GBP",3850,2019-05-01,"Earthlings","Greater London Authority","Culture and Creative Industries","Culture Seeds",4066.49257240708,"small"
"1278","Grant to individual","GBP",5000,2019-05-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4742.74677626553,"large"
"1279","Roj Women Association","GBP",5000,2019-05-01,"Roj Women Association","Greater London Authority","Culture and Creative Industries","Culture Seeds",6807.6851333363,"med"
"1280","Embracing Age","GBP",4000,2019-05-01,"Embracing Age","Greater London Authority","Culture and Creative Industries","Culture Seeds",5152.11407390216,"large"
"1281","Hackney Young Peoples Uni (HYPU)","GBP",4232,2019-05-01,"Hackney Young Peoples Uni (HYPU)","Greater London Authority","Culture and Creative Industries","Culture Seeds",5548.58513912077,"small"
"1282","May Project Gardens CIC","GBP",5000,2019-05-01,"May Project Gardens CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",6738.01078022694,"large"
"1283","Grant to individual","GBP",2316,2019-05-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",2760.38953853195,"small"
"1284","Soho Green","GBP",3000,2019-05-01,"Soho Green","Greater London Authority","Culture and Creative Industries","Culture Seeds",3459.07531394626,"small"
"1285","Grant to individual","GBP",4900,2019-05-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",7290.76302203265,"large"
"1286","Nikki Agency","GBP",2950,2019-05-01,"Nikki Agency","Greater London Authority","Culture and Creative Industries","Culture Seeds",4011.03660832944,"small"
"1287","The RENA Initiative C.I.C.","GBP",5000,2019-06-01,"The RENA Initiative C.I.C.","Greater London Authority","Culture and Creative Industries","Culture Seeds",8635.86434286391,"large"
"1288","Grant to individual","GBP",5000,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5177.43111565615,"med"
"1289","Trapped in Zone One","GBP",4975,2019-06-01,"Trapped in Zone One","Greater London Authority","Culture and Creative Industries","Culture Seeds",5804.17221796477,"small"
"1290","Grant to individual","GBP",3926,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4457.49713321722,"large"
"1291","Walworth Society","GBP",4745,2019-06-01,"Walworth Society","Greater London Authority","Culture and Creative Industries","Culture Seeds",3993.7716334706,"large"
"1292","Grant to individual","GBP",5000,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5101.03780453116,"small"
"1293","Ferry Festival Working Group","GBP",5000,2019-06-01,"Ferry Festival Working Group","Greater London Authority","Culture and Creative Industries","Culture Seeds",4537.80021240865,"med"
"1294","SR Expressions","GBP",4800,2019-06-01,"SR Expressions","Greater London Authority","Culture and Creative Industries","Culture Seeds",4735.47342267036,"large"
"1295","The RISE Collective","GBP",4761,2019-06-01,"The RISE Collective","Greater London Authority","Culture and Creative Industries","Culture Seeds",7966.85699140639,"large"
"1296","Grant to individual","GBP",4987,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4889.03050692909,"large"
"1297","Womens Leadership Initiative","GBP",3236,2019-06-01,"Womens Leadership Initiative","Greater London Authority","Culture and Creative Industries","Culture Seeds",5532.7151704877,"large"
"1298","Grant to individual","GBP",4500,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",6397.89226399532,"med"
"1299","Grant to individual","GBP",5000,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5508.14346030618,"small"
"1300","Music For Wellbeing 2016 CIC","GBP",4780,2019-06-01,"Music For Wellbeing 2016 CIC","Greater London Authority","Culture and Creative Industries","Culture Seeds",7447.75894901833,"med"
"1301","Grant to individual","GBP",4500,2019-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",4527.01467161462,"small"
"1302","Catalyst In Communities","GBP",270000,2020-01-01,"Catalyst In Communities","Greater London Authority","Communities and Skills","Young Londoners Fund",277897.614899865,"small"
"1303","Croydon Council (on behalf of Croydon Strategic Partnership)","GBP",1215000,2020-01-01,"Croydon Council (on behalf of Croydon Strategic Partnership)","Greater London Authority","Communities and Skills","Young Londoners Fund",1535866.96001491,"med"
"1304","Crystal Palace Community Trust","GBP",553681,2020-01-01,"Crystal Palace Community Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",772246.410510868,"med"
"1305","Enfield Council","GBP",1326588,2020-01-01,"Enfield Council","Greater London Authority","Communities and Skills","Young Londoners Fund",921268.988815011,"med"
"1306","London Borough of Barking and Dagenham","GBP",1002228,2020-01-01,"London Borough of Barking and Dagenham","Greater London Authority","Communities and Skills","Young Londoners Fund",1000779.80016908,"small"
"1307","15billionebp","GBP",149850,2020-01-01,"15billionebp","Greater London Authority","Communities and Skills","Young Londoners Fund",228197.146665137,"med"
"1308","Abianda","GBP",149865,2020-01-01,"Abianda","Greater London Authority","Communities and Skills","Young Londoners Fund",160227.316842573,"large"
"1309","Action West London","GBP",148104,2020-01-01,"Action West London","Greater London Authority","Communities and Skills","Young Londoners Fund",211853.456433543,"med"
"1310","Barnet Refugee Service","GBP",150000,2020-01-01,"Barnet Refugee Service","Greater London Authority","Communities and Skills","Young Londoners Fund",218757.910687377,"small"
"1311","Baytree Centre","GBP",150000,2020-01-01,"Baytree Centre","Greater London Authority","Communities and Skills","Young Londoners Fund",263414.917182185,"small"
"1312","Belong: Making Justice Happen","GBP",150000,2020-01-01,"Belong: Making Justice Happen","Greater London Authority","Communities and Skills","Young Londoners Fund",175330.836272693,"small"
"1313","Bexley Moorings Project","GBP",102078,2020-01-01,"Bexley Moorings Project","Greater London Authority","Communities and Skills","Young Londoners Fund",102787.022008854,"med"
"1314","Body & Soul","GBP",148298,2020-01-01,"Body & Soul","Greater London Authority","Communities and Skills","Young Londoners Fund",200596.444806301,"small"
"1315","Bromley by Bow Centre","GBP",149779,2020-01-01,"Bromley by Bow Centre","Greater London Authority","Communities and Skills","Young Londoners Fund",214310.741645655,"small"
"1316","Business Launchpad","GBP",149773,2020-01-01,"Business Launchpad","Greater London Authority","Communities and Skills","Young Londoners Fund",254486.74806119,"large"
"1317","Cardinal Hume Centre","GBP",141000,2020-01-01,"Cardinal Hume Centre","Greater London Authority","Communities and Skills","Young Londoners Fund",167394.121760751,"large"
"1318","Carers FIRST","GBP",124277,2020-01-01,"Carers FIRST","Greater London Authority","Communities and Skills","Young Londoners Fund",173649.169199549,"large"
"1319","Carers Support Merton","GBP",99287,2020-01-01,"Carers Support Merton","Greater London Authority","Communities and Skills","Young Londoners Fund",119774.635248759,"med"
"1320","Chickenshed","GBP",149910,2020-01-01,"Chickenshed","Greater London Authority","Communities and Skills","Young Londoners Fund",153628.267847991,"small"
"1321","Circle Collective","GBP",72846,2020-01-01,"Circle Collective","Greater London Authority","Communities and Skills","Young Londoners Fund",86494.4558731155,"med"
"1322","Croydon Youth Zone, Legacy","GBP",116127,2020-01-01,"Croydon Youth Zone, Legacy","Greater London Authority","Communities and Skills","Young Londoners Fund",142222.060872839,"small"
"1323","Damilola Taylor Trust","GBP",150000,2020-01-01,"Damilola Taylor Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",68786.9996147768,"large"
"1324","Dwayne Simpson Foundation CIC Dwaynamics Project","GBP",149917,2020-01-01,"Dwayne Simpson Foundation CIC Dwaynamics Project","Greater London Authority","Communities and Skills","Young Londoners Fund",210221.306254155,"large"
"1325","East London Dance","GBP",150000,2020-01-01,"East London Dance","Greater London Authority","Communities and Skills","Young Londoners Fund",169376.017843976,"small"
"1326","ECPAT UK","GBP",149450,2020-01-01,"ECPAT UK","Greater London Authority","Communities and Skills","Young Londoners Fund",77566.5706349847,"med"
"1327","Family Action","GBP",149463,2020-01-01,"Family Action","Greater London Authority","Communities and Skills","Young Londoners Fund",233352.852977536,"small"
"1328","Fight for Peace International","GBP",148725,2020-01-01,"Fight for Peace International","Greater London Authority","Communities and Skills","Young Londoners Fund",158590.743441417,"small"
"1329","Football Beyond Borders","GBP",114225,2020-01-01,"Football Beyond Borders","Greater London Authority","Communities and Skills","Young Londoners Fund",143610.400640584,"small"
"1330","Frenford Clubs","GBP",149830,2020-01-01,"Frenford Clubs","Greater London Authority","Communities and Skills","Young Londoners Fund",170372.673927734,"large"
"1331","Hammersmith & Fulham Adult Learning & Skills Service","GBP",150000,2020-01-01,"Hammersmith & Fulham Adult Learning & Skills Service","Greater London Authority","Communities and Skills","Young Londoners Fund",201899.575907984,"small"
"1332","HMDT Music","GBP",149677,2020-01-01,"HMDT Music","Greater London Authority","Communities and Skills","Young Londoners Fund",162377.723211172,"large"
"1333","Hounslow Youth Counselling Service","GBP",147900,2020-01-01,"Hounslow Youth Counselling Service","Greater London Authority","Communities and Skills","Young Londoners Fund",200050.305553818,"small"
"1334","IHEART","GBP",143545,2020-01-01,"IHEART","Greater London Authority","Communities and Skills","Young Londoners Fund",227172.535125241,"small"
"1335","Immediate Theatre","GBP",149897,2020-01-01,"Immediate Theatre","Greater London Authority","Communities and Skills","Young Londoners Fund",160506.16468799,"small"
"1336","Institute of Imagination","GBP",149946,2020-01-01,"Institute of Imagination","Greater London Authority","Communities and Skills","Young Londoners Fund",231968.753315479,"small"
"1337","LifeLine Community Projects","GBP",148637,2020-01-01,"LifeLine Community Projects","Greater London Authority","Communities and Skills","Young Londoners Fund",148890.441793356,"med"
"1338","Millwall Community Trust","GBP",149622,2020-01-01,"Millwall Community Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",186153.809046547,"med"
"1339","Ministry of Stories","GBP",142497,2020-01-01,"Ministry of Stories","Greater London Authority","Communities and Skills","Young Londoners Fund",156759.38599527,"small"
"1340","MumsAid","GBP",149465,2020-01-01,"MumsAid","Greater London Authority","Communities and Skills","Young Londoners Fund",192232.130059061,"med"
"1341","Newark Youth London","GBP",144375,2020-01-01,"Newark Youth London","Greater London Authority","Communities and Skills","Young Londoners Fund",166633.727199665,"small"
"1342","Newham All Star Sports Academy (NASSA)","GBP",134920,2020-01-01,"Newham All Star Sports Academy (NASSA)","Greater London Authority","Communities and Skills","Young Londoners Fund",223306.011453396,"med"
"1343","Newham Music","GBP",144000,2020-01-01,"Newham Music","Greater London Authority","Communities and Skills","Young Londoners Fund",198270.262476106,"med"
"1344","Osmani Trust","GBP",150000,2020-01-01,"Osmani Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",147346.146272171,"med"
"1345","Our Time","GBP",99210,2020-01-01,"Our Time","Greater London Authority","Communities and Skills","Young Londoners Fund",118810.20514937,"med"
"1346","Oxygen","GBP",150000,2020-01-01,"Oxygen","Greater London Authority","Communities and Skills","Young Londoners Fund",136574.337486174,"small"
"1347","People Potential Possibilities, operating as P3, delivered by London division Rugby Portobello Trust","GBP",109734,2020-01-01,"People Potential Possibilities, operating as P3, delivered by London division Rugby Portobello Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",120096.424665812,"large"
"1348","PSEV Ltd","GBP",150000,2020-01-01,"PSEV Ltd","Greater London Authority","Communities and Skills","Young Londoners Fund",188370.600220512,"large"
"1349","Rathbone","GBP",149827,2020-01-01,"Rathbone","Greater London Authority","Communities and Skills","Young Londoners Fund",139284.014524509,"large"
"1350","Refuge","GBP",148792,2020-01-01,"Refuge","Greater London Authority","Communities and Skills","Young Londoners Fund",175561.795339804,"small"
"1351","Resources for Autism","GBP",130798,2020-01-01,"Resources for Autism","Greater London Authority","Communities and Skills","Young Londoners Fund",136709.749193078,"small"
"1352","Rich Mix Cultural Foundation","GBP",149577,2020-01-01,"Rich Mix Cultural Foundation","Greater London Authority","Communities and Skills","Young Londoners Fund",143170.323839711,"large"
"1353","RISE Mutual CIC","GBP",149403,2020-01-01,"RISE Mutual CIC","Greater London Authority","Communities and Skills","Young Londoners Fund",156265.96934943,"small"
"1354","Rosetta Arts","GBP",150000,2020-01-01,"Rosetta Arts","Greater London Authority","Communities and Skills","Young Londoners Fund",177028.543585795,"large"
"1355","Shadwell Basin Outdoor Activity Centre (Also Known as ELMV Shadwell Basin Project)","GBP",98496,2020-01-01,"Shadwell Basin Outdoor Activity Centre (Also Known as ELMV Shadwell Basin Project)","Greater London Authority","Communities and Skills","Young Londoners Fund",154414.734345222,"small"
"1356","Shaw Trust","GBP",135000,2020-01-01,"Shaw Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",136587.240782389,"med"
"1357","Shoreditch Trust","GBP",149994,2020-01-01,"Shoreditch Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",205321.103934152,"large"
"1358","SILS: Southwark Inclusive Learning Service","GBP",149166,2020-01-01,"SILS: Southwark Inclusive Learning Service","Greater London Authority","Communities and Skills","Young Londoners Fund",198612.139652782,"med"
"1359","Streetz Ahead","GBP",148725,2020-01-01,"Streetz Ahead","Greater London Authority","Communities and Skills","Young Londoners Fund",200276.380401932,"med"
"1360","Strength in Horses","GBP",150000,2020-01-01,"Strength in Horses","Greater London Authority","Communities and Skills","Young Londoners Fund",136565.059627579,"med"
"1361","The 4Front Project","GBP",150000,2020-01-01,"The 4Front Project","Greater London Authority","Communities and Skills","Young Londoners Fund",167091.544601827,"large"
"1362","The Albany","GBP",142770,2020-01-01,"The Albany","Greater London Authority","Communities and Skills","Young Londoners Fund",82797.336067431,"med"
"1363","The Avenues Youth Project","GBP",149845,2020-01-01,"The Avenues Youth Project","Greater London Authority","Communities and Skills","Young Londoners Fund",230907.230069456,"med"
"1364","The Big House Theatre Company","GBP",147114,2020-01-01,"The Big House Theatre Company","Greater London Authority","Communities and Skills","Young Londoners Fund",216416.124195395,"med"
"1365","The Film and Video Workshop","GBP",104017,2020-01-01,"The Film and Video Workshop","Greater London Authority","Communities and Skills","Young Londoners Fund",123446.169460682,"small"
"1366","The Forward Trust","GBP",150000,2020-01-01,"The Forward Trust","Greater London Authority","Communities and Skills","Young Londoners Fund",215310.26547962,"small"
"1367","The London Basketball Association","GBP",96000,2020-01-01,"The London Basketball Association","Greater London Authority","Communities and Skills","Young Londoners Fund",125804.181603772,"med"
"1368","Theatre Peckham","GBP",149583,2020-01-01,"Theatre Peckham","Greater London Authority","Communities and Skills","Young Londoners Fund",197019.930779287,"large"
"1369","Volunteer Centre Sutton","GBP",147989,2020-01-01,"Volunteer Centre Sutton","Greater London Authority","Communities and Skills","Young Londoners Fund",106453.903410234,"med"
"1370","Volunteer It Yourself CIC","GBP",144000,2020-01-01,"Volunteer It Yourself CIC","Greater London Authority","Communities and Skills","Young Londoners Fund",121980.081353171,"large"
"1371","West London Zone","GBP",149766,2020-01-01,"West London Zone","Greater London Authority","Communities and Skills","Young Londoners Fund",185753.243537824,"large"
"1372","YMCA West London","GBP",132563,2020-01-01,"YMCA West London","Greater London Authority","Communities and Skills","Young Londoners Fund",186290.513619772,"med"
"1373","You and Me Counselling","GBP",106050,2020-01-01,"You and Me Counselling","Greater London Authority","Communities and Skills","Young Londoners Fund",116253.673149241,"med"
